,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
10776,Monster Ride Pro,GAME,5.0,1,24M,1,Free,0,Everyone,Racing,"March 5, 2018",2.0,2.3 and up
9265,EC Mover,GAME,5.0,5,4.6M,5,Free,0,Everyone,Racing,"August 1, 2018",1.11,4.0.3 and up
10721,Mad Dash Fo' Cash,GAME,5.0,14,16M,14,Free,0,Everyone,Arcade,"June 19, 2017",2.5a,4.1 and up
5795,Axe Champs! Wars,GAME,5.0,8,25M,8,Free,0,Everyone,Arcade,"June 26, 2018",1.1,4.1 and up
5822,Flippy Axe : Flip The Knife & Axe Simulator,GAME,5.0,7,15M,7,Free,0,Everyone,Arcade,"September 27, 2017",1.1,4.2 and up
6700,Brick Breaker BR,GAME,5.0,7,19M,7,Free,0,Everyone,Arcade,"July 23, 2018",1.0,4.1 and up
7402,Trovami se ci riesci,GAME,5.0,11,6.1M,11,Free,0,Everyone,Arcade,"March 11, 2017",0.1,2.3 and up
7698,CP Trivia,GAME,5.0,5,12M,5,Free,0,Everyone,Trivia,"August 6, 2018",0.99,5.0 and up
4975,Solitaire: Decked Out Ad Free,GAME,4.9,37302,35M,37302,Free,0,Everyone,Card,"May 8, 2017",1.3.3,4.1 and up
6495,Word Hunt,GAME,4.9,59,21M,59,Free,0,Everyone,Word,"June 22, 2018",1.0,4.4 and up
8172,Dan the Man: Action Platformer,GAME,4.8,528550,73M,528550,Free,0,Teen,Arcade,"July 26, 2018",1.2.6,4.1 and up
1820,"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85M,549720,Free,0,Everyone,Simulation,"July 19, 2018",2.1.1.4.0,4.4 and up
7363,Sermon on Proverbs CH Spurgeon,GAME,4.8,35,3.1M,35,Free,0,Everyone,Trivia,"July 29, 2016",1.0.0,4.0 and up
7889,CT-ART 4.0 (Chess Tactics 1200-2400 ELO),GAME,4.8,8191,Varies with device,8191,Free,0,Everyone,Board,"May 22, 2018",1.1.0,4.1 and up
4390,Drag'n'Boom,GAME,4.8,133180,54M,133180,Free,0,Everyone 10+,Arcade,"January 12, 2018",1.1.1,4.4 and up
5277,Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21,89M,21,Free,0,Everyone,Arcade,"March 30, 2018",0.46.91,4.4 and up
9561,Fernanfloo,GAME,4.8,526595,49M,526595,Free,0,Everyone 10+,Arcade,"June 26, 2018",2.9,4.0.3 and up
1889,Wordscapes,GAME,4.8,230849,87M,230849,Free,0,Everyone,Word,"August 2, 2018",1.0.47,4.1 and up
1769,Woody Puzzle,GAME,4.7,21262,29M,21262,Free,0,Everyone,Puzzle,"August 3, 2018",1.0.9,4.4 and up
7643,Them Bombs: co-op board game play with 2-4 friends,GAME,4.7,8038,52M,8038,Free,0,Teen,Board,"July 12, 2018",1.4.1,4.1 and up
1779,PLANK!,GAME,4.7,7196,38M,7196,Free,0,Everyone,Arcade,"July 17, 2018",1.0.2,4.3 and up
8673,that's lit,GAME,4.7,1115,39M,1115,Free,0,Everyone,Arcade,"July 7, 2017",1.0,4.3 and up
1763,Piano Tiles 2™,GAME,4.7,8118880,Varies with device,8118880,Free,0,Everyone,Arcade,"August 3, 2018",3.1.0.226,4.1 and up
1951,Once Upon a Tower,GAME,4.7,37139,49M,37139,Free,0,Everyone 10+,Action,"January 24, 2018",8,4.1 and up
6629,BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,GAME,4.7,191,7.2M,191,Free,0,Everyone,Trivia,"July 31, 2018",4.1.2,4.1 and up
6901,BW-Joseki,GAME,4.7,705,1.8M,705,Free,0,Everyone,Board,"July 28, 2015",1.2.1,4.0.3 and up
1983,Gems or jewels ?,GAME,4.7,171448,13M,171448,Free,0,Teen,Puzzle,"August 3, 2018",1.0.109,4.0 and up
10484,"FJ Final Join , Circles Game",GAME,4.7,32,24M,32,Free,0,Teen,Arcade,"July 11, 2018",0.24,4.3 and up
7031,Voxel - 3D Color by Number & Pixel Coloring Book,GAME,4.7,62561,53M,62561,Free,0,Everyone,Board,"July 31, 2018",2.4.11,4.1 and up
8453,Fancy Pants Adventures,GAME,4.7,55952,61M,55952,Free,0,Everyone 10+,Arcade,"July 13, 2017",1.0.10,4.1 and up
1940,Soul Knight,GAME,4.7,292164,59M,292164,Free,0,Everyone 10+,Action,"August 1, 2018",1.8.4,4.1 and up
8436,Deck Heroes: Legacy,GAME,4.7,466495,52M,466495,Free,0,Teen,Card,"July 16, 2018",11.7.5,2.3.3 and up
1939,CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,1559650,Free,0,Everyone,Action,"July 9, 2018",2.11.1,4.1 and up
1857,Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64M,584126,Free,0,Everyone 10+,Role Playing,"July 27, 2018",1.5.4,4.1 and up
1937,Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,725897,Free,0,Teen,Action,"August 3, 2018",1.8.20,4.1 and up
1813,Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49M,358817,Free,0,Everyone,Arcade,"July 30, 2018",1.2.2,4.1 and up
7017,Bingo by IGG: Top Bingo+Slots!,GAME,4.7,183343,20M,183343,Free,0,Teen,Casino,"May 28, 2018",1.5.1,2.3 and up
1863,Idle Heroes,GAME,4.7,416540,99M,416540,Free,0,Everyone 10+,Role Playing,"May 30, 2018",1.14.0,2.3 and up
6989,Color by Number – New Coloring Book,GAME,4.7,142308,24M,142308,Free,0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up
